replay_file,game_length_s,map_name,p1_race,p2_race,winner,p1_minerals_current_5min,p1_vespene_current_5min,p1_minerals_collection_rate_5min,p1_vespene_collection_rate_5min,p1_workers_active_5min,p1_army_supply_5min,p1_minerals_current_10min,p1_vespene_current_10min,p1_minerals_collection_rate_10min,p1_vespene_collection_rate_10min,p1_workers_active_10min,p1_army_supply_10min,p1_minerals_total,p1_vespene_total,p2_minerals_current_5min,p2_vespene_current_5min,p2_minerals_collection_rate_5min,p2_vespene_collection_rate_5min,p2_workers_active_5min,p2_army_supply_5min,p2_minerals_current_10min,p2_vespene_current_10min,p2_minerals_collection_rate_10min,p2_vespene_collection_rate_10min,p2_workers_active_10min,p2_army_supply_10min,p2_minerals_total,p2_vespene_total
[PvZ] - Arrogfire vs [НТТ]MiniZergUA - Winter Madness LE - 2026-03-15 13_11_52.SC2Replay,415,Winter Madness LE,Protoss,Zerg,1.0,175.0,155.0,1399.0,313.0,33.0,11.0,175.0,98.0,1651.0,335.0,42.0,27.0,7756.25,1401.75,281.0,0.0,1091.0,0.0,20.0,23.0,126.0,0.0,139.0,0.0,11.0,29.0,6398.25,145.0
[PvZ] - ArT vs eGGz - Ruby Rock LE - 2026-03-08 14_31_03.SC2Replay,674,Ruby Rock LE,Protoss,Zerg,1.0,120.0,150.0,1483.0,313.0,35.0,10.0,88.0,203.0,2631.0,627.0,64.0,54.0,14242.25,3175.25,230.0,24.0,1567.0,0.0,27.0,18.0,585.0,103.0,2379.0,492.0,59.0,46.5,14907.25,1273.0
[PvZ] - Classic vs [SBalIs]YoungYakov - Ruby Rock LE - 2026-03-05 13_09_00.SC2Replay,218,Ruby Rock LE,Protoss,Zerg,2.0,110.0,188.0,867.0,313.0,24.0,8.0,110.0,188.0,867.0,313.0,24.0,8.0,3251.25,357.25,79.0,0.0,1231.0,0.0,22.0,11.0,79.0,0.0,1231.0,0.0,22.0,11.0,3188.25,156.0
[PvZ] - Classic vs [SBalIs]YoungYakov - Winter Madness LE - 2026-03-05 13_18_46.SC2Replay,507,Winter Madness LE,Protoss,Zerg,1.0,20.0,59.0,1455.0,134.0,32.0,8.0,40.0,196.0,1847.0,582.0,44.0,30.0,10757.75,1731.5,43.0,0.0,1511.0,0.0,29.0,18.0,108.0,334.0,1287.0,313.0,37.0,39.0,10225.75,893.75
[PvZ] - Classic vs Solar - Ruby Rock LE - 2026-03-07 14_11_45.SC2Replay,625,Ruby Rock LE,Protoss,Zerg,2.0,395.0,45.0,1511.0,313.0,35.0,12.0,175.0,197.0,2883.0,918.0,71.0,42.0,15817.25,4009.0,106.0,0.0,1791.0,0.0,33.0,13.0,36.0,104.0,2799.0,940.0,66.0,83.0,16972.25,2271.5
[PvZ] - Classic vs Solar - Tourmaline LE - 2026-03-07 13_59_11.SC2Replay,809,Tourmaline LE,Protoss,Zerg,2.0,55.0,91.0,1511.0,268.0,33.0,8.0,280.0,188.0,1735.0,649.0,44.0,46.0,13388.25,3125.75,114.0,16.0,1763.0,67.0,35.0,13.0,76.0,86.0,2435.0,515.0,50.0,87.0,14445.25,1502.25
[PvZ] - Creator vs [SBalIs]YoungYakov - Winter Madness LE - 2026-02-19 13_52_56.SC2Replay,739,Winter Madness LE,Protoss,Zerg,2.0,200.0,102.0,923.0,313.0,27.0,11.0,455.0,262.0,2351.0,559.0,55.0,30.0,13080.25,2710.25,201.0,0.0,1455.0,0.0,28.0,12.0,203.0,213.0,2715.0,649.0,64.0,40.5,14683.25,1391.75
[PvZ] - Creator vs Fjant - Ruby Rock LE - 2026-03-14 12_26_10.SC2Replay,583,Ruby Rock LE,Protoss,Zerg,1.0,310.0,147.0,1455.0,313.0,34.0,11.0,575.0,176.0,2771.0,627.0,65.0,38.0,15229.25,3366.25,446.0,12.0,1399.0,0.0,26.0,12.0,321.0,81.0,2743.0,515.0,58.0,44.0,15026.25,898.75
[PvZ] - Creator vs Fjant - White Rabbit LE - 2026-03-14 12_57_14.SC2Replay,685,White Rabbit LE,Protoss,Zerg,1.0,180.0,8.0,1567.0,358.0,33.0,16.0,265.0,248.0,2855.0,783.0,65.0,39.0,15264.25,3516.75,199.0,12.0,811.0,0.0,24.0,16.0,501.0,201.0,2099.0,559.0,54.0,49.5,14753.25,1312.75
[PvZ] - LiquidMaNa vs [TRotti]Fjant - Winter Madness LE - 2026-03-19 13_35_01.SC2Replay,518,Winter Madness LE,Protoss,Zerg,2.0,465.0,254.0,895.0,335.0,24.0,7.0,245.0,328.0,1735.0,313.0,41.0,22.0,8769.25,1764.75,124.0,12.0,1203.0,0.0,21.0,11.5,69.0,142.0,1315.0,358.0,36.0,36.0,10400.25,838.0
[PvZ] - LiquidMaNa vs Rogue - Ruby Rock LE - 2026-02-18 12_32_53.SC2Replay,285,Ruby Rock LE,Protoss,Zerg,2.0,148.0,152.0,279.0,156.0,19.0,4.0,148.0,152.0,279.0,156.0,19.0,4.0,3621.25,195.0,143.0,148.0,1203.0,179.0,23.0,13.0,143.0,148.0,1203.0,179.0,23.0,13.0,3768.25,212.25
[PvZ] - LiquidMaNa vs Rogue - Winter Madness LE - 2026-02-18 12_53_30.SC2Replay,1191,Winter Madness LE,Protoss,Zerg,2.0,25.0,78.0,923.0,313.0,25.0,6.0,175.0,141.0,1399.0,537.0,37.0,23.0,9398.25,2302.75,181.0,180.0,895.0,134.0,18.0,18.5,56.0,256.0,839.0,246.0,42.0,24.0,9832.25,853.5
[PvZ] - ONSYDEZoun vs [RBLN]Lambo - Mothership LE - 2026-03-12 14_23_55.SC2Replay,675,Mothership LE,Protoss,Zerg,2.0,320.0,147.0,1371.0,313.0,33.0,11.0,460.0,166.0,2631.0,985.0,69.0,27.0,14662.25,3557.25,359.0,0.0,1539.0,0.0,32.0,12.0,101.0,177.0,2939.0,1052.0,75.0,52.0,16545.25,2455.5
[PvZ] - ONSYDEZoun vs Solar - Old Republic LE - 2026-03-17 18_05_26.SC2Replay,1023,Old Republic LE,Protoss,Zerg,1.0,390.0,143.0,1455.0,335.0,34.0,11.0,465.0,449.0,2827.0,963.0,69.0,42.0,15355.25,3696.75,73.0,0.0,1763.0,0.0,34.0,14.0,228.0,289.0,3051.0,963.0,76.0,55.5,16993.25,2286.75
[PvZ] - ShoWTimE vs Rogue - 10000 Feet LE - 2026-03-10 14_14_31.SC2Replay,223,10000 Feet LE,Protoss,Zerg,1.0,10.0,53.0,1035.0,313.0,27.0,6.0,10.0,53.0,1035.0,313.0,27.0,6.0,3279.25,401.75,224.0,0.0,1371.0,0.0,26.0,9.0,224.0,0.0,1371.0,0.0,26.0,9.0,3517.25,167.5
[PvZ] - ShoWTimE vs Rogue - Celestial Enclave LE - 2026-03-10 14_09_30.SC2Replay,693,Celestial Enclave LE,Protoss,Zerg,1.0,75.0,106.0,1539.0,313.0,34.0,13.0,320.0,636.0,2715.0,940.0,67.0,29.0,14865.25,3578.5,179.0,0.0,1483.0,0.0,28.0,15.5,169.0,308.0,2351.0,739.0,63.0,38.5,14984.25,1122.25
[PvZ] - SZNightMare vs [SYDE]OFFSYDERex - 10000 Feet LE - 2026-02-17 12_41_34.SC2Replay,807,10000 Feet LE,Protoss,Zerg,1.0,415.0,116.0,923.0,156.0,19.0,13.0,125.0,273.0,1847.0,649.0,44.0,22.0,10168.25,2195.25,146.0,0.0,951.0,0.0,19.0,9.0,5.0,251.0,2351.0,335.0,57.0,28.5,11736.25,876.25
[PvZ] - SZNightMare vs [SYDE]OFFSYDERex - Tourmaline LE - 2026-02-17 12_27_22.SC2Replay,656,Tourmaline LE,Protoss,Zerg,1.0,60.0,120.0,1567.0,291.0,35.0,8.0,110.0,136.0,2015.0,627.0,49.0,55.0,14074.25,3287.75,144.0,72.0,1707.0,111.0,34.0,13.0,99.0,257.0,2463.0,671.0,52.0,79.0,16118.25,1888.75
[PvZ] - VITZoun vs SHIN - 10000 Feet LE - 2026-03-06 15_08_22.SC2Replay,881,10000 Feet LE,Protoss,Zerg,2.0,220.0,18.0,1539.0,335.0,35.0,12.0,440.0,54.0,2687.0,940.0,67.0,48.0,15614.25,3926.0,164.0,0.0,1651.0,0.0,33.0,11.0,544.0,223.0,2771.0,1030.0,77.0,56.5,17105.25,2270.0
[PvZ] - VITZoun vs SHIN - Old Republic LE - 2026-03-06 15_35_46.SC2Replay,775,Old Republic LE,Protoss,Zerg,1.0,145.0,5.0,1567.0,335.0,34.0,14.0,225.0,295.0,1987.0,627.0,62.0,43.0,14963.25,3556.75,263.0,20.0,1679.0,0.0,32.0,12.0,188.0,513.0,2939.0,963.0,71.0,44.5,16223.25,2208.25
[PvZ] - VITZoun vs SHIN - White Rabbit LE - 2026-03-06 15_21_10.SC2Replay,713,White Rabbit LE,Protoss,Zerg,1.0,155.0,128.0,1063.0,268.0,26.0,11.0,155.0,320.0,2463.0,649.0,59.0,41.0,12170.25,2587.25,34.0,12.0,1259.0,0.0,23.0,13.0,1027.0,445.0,2687.0,940.0,66.0,38.5,15278.25,1699.0
[PvZ] - VITZoun vs Solar - Celestial Enclave LE - 2026-03-06 14_39_08.SC2Replay,504,Celestial Enclave LE,Protoss,Zerg,2.0,190.0,102.0,1483.0,335.0,34.0,11.0,335.0,194.0,1847.0,627.0,53.0,33.0,10715.75,2616.25,49.0,0.0,1595.0,0.0,34.0,14.0,204.0,467.0,2351.0,649.0,54.0,38.5,12451.75,1021.75
[PvZ] - VITZoun vs Solar - White Rabbit LE - 2026-03-06 14_47_36.SC2Replay,412,White Rabbit LE,Protoss,Zerg,2.0,135.0,109.0,1539.0,313.0,34.0,6.0,160.0,110.0,1819.0,627.0,44.0,18.0,8162.25,1553.75,43.0,16.0,1931.0,89.0,37.0,12.0,508.0,186.0,1987.0,335.0,43.0,33.5,8820.25,575.25
[TvP] - [3Dǃ]KakDela vs [mlem]LiquidClem - 10000 Feet LE - 2026-03-02 12_21_36.SC2Replay,537,10000 Feet LE,Terran,Protoss,2.0,105.0,112.0,1343.0,313.0,26.0,14.0,28.0,60.0,2183.0,492.0,48.0,48.0,11919.25,2157.0,15.0,51.0,1455.0,335.0,34.0,8.0,65.0,21.0,2715.0,492.0,60.0,30.0,12136.25,2302.0
[TvP] - [3Dǃ]KakDela vs [mlem]LiquidClem - Winter Madness LE - 2026-03-02 12_30_54.SC2Replay,510,Winter Madness LE,Terran,Protoss,2.0,359.0,181.0,1203.0,313.0,26.0,11.0,113.0,44.0,2043.0,447.0,41.0,29.0,9518.75,1866.75,40.0,60.0,1371.0,335.0,33.0,6.0,335.0,159.0,1651.0,470.0,45.0,25.0,10316.75,1849.5
[TvP] - [3Dǃ]KakDela vs [SYDE]Krystianer - Ruby Rock LE - 2026-02-17 13_17_07.SC2Replay,392,Ruby Rock LE,Terran,Protoss,2.0,22.0,123.0,1259.0,313.0,24.0,14.0,82.0,37.0,1315.0,313.0,32.0,33.0,7350.25,1206.25,90.0,36.0,1483.0,313.0,33.0,6.0,280.0,82.0,1847.0,604.0,44.0,20.0,8141.25,1514.5
[TvP] - [3Dǃ]KakDela vs [SYDE]Krystianer - Winter Madness LE - 2026-02-17 13_27_16.SC2Replay,570,Winter Madness LE,Terran,Protoss,2.0,182.0,53.0,1203.0,156.0,24.0,15.0,322.0,70.0,2379.0,470.0,46.0,36.0,11855.75,2206.5,30.0,151.0,1259.0,313.0,32.0,11.0,50.0,375.0,2183.0,604.0,54.0,31.0,11764.75,2855.5
[TvP] - [iMkS]INexorable vs [ONSYDE]Krystianer - Mothership LE - 2026-03-17 14_48_30.SC2Replay,547,Mothership LE,Terran,Protoss,2.0,150.0,85.0,1063.0,268.0,25.0,11.0,245.0,183.0,1847.0,313.0,41.0,39.0,11008.75,2223.25,85.0,297.0,1231.0,313.0,32.0,6.0,200.0,243.0,2659.0,425.0,59.0,34.0,11757.75,2431.25
[TvP] - [KRKTWN]Percival vs [ONSYDE]Krystianer - Taito Citadel LE - 2026-03-17 18_15_50.SC2Replay,451,Taito Citadel LE,Terran,Protoss,1.0,35.0,62.0,1259.0,313.0,26.0,17.0,50.0,142.0,1987.0,694.0,43.0,35.0,9897.25,2006.5,10.0,59.0,1427.0,313.0,35.0,8.0,221.0,229.0,2155.0,492.0,47.0,21.0,9449.25,1888.5
[TvP] - [mIem]LiquidClem vs [A2P]ReBellioN - Ruby Rock LE - 2026-03-10 12_18_42.SC2Replay,633,Ruby Rock LE,Terran,Protoss,1.0,170.0,159.0,1259.0,313.0,27.0,8.0,235.0,197.0,2351.0,649.0,53.0,57.0,14746.25,3114.25,100.0,142.0,1091.0,358.0,28.0,5.0,200.0,294.0,2351.0,604.0,53.0,35.0,12730.25,2946.0
[TvP] - [mIem]LiquidClem vs [A2P]ReBellioN - Tourmaline LE - 2026-03-10 12_28_22.SC2Replay,482,Tourmaline LE,Terran,Protoss,1.0,45.0,66.0,1203.0,358.0,26.0,16.0,107.0,37.0,2267.0,627.0,47.0,39.0,10106.75,2225.25,160.0,72.0,1427.0,313.0,31.0,10.0,70.0,358.0,1959.0,515.0,46.0,23.0,10715.75,1883.25
[TvP] - [mIem]LiquidClem vs ONSYDEZoun - Winter Madness LE - 2026-03-10 13_00_56.SC2Replay,475,Winter Madness LE,Terran,Protoss,1.0,135.0,94.0,1567.0,335.0,27.0,12.0,60.0,193.0,1987.0,604.0,45.0,36.0,9897.25,1870.5,120.0,67.0,1595.0,313.0,35.0,7.0,45.0,152.0,2015.0,425.0,50.0,30.0,10114.25,1950.75
[TvP] - [mlem]LiquidClem vs [EGD]ShoWTimE - Old Republic LE - 2026-02-23 13_07_47.SC2Replay,537,Old Republic LE,Terran,Protoss,2.0,170.0,78.0,1455.0,313.0,27.0,15.0,135.0,107.0,2267.0,627.0,49.0,55.0,12654.25,2583.25,105.0,79.0,1511.0,335.0,33.0,8.0,75.0,53.0,2603.0,627.0,58.0,33.0,12332.25,2705.75
[TvP] - [mlem]LiquidClem vs [EGD]ShoWTimE - Old Republic LE - 2026-03-10 16_26_39.SC2Replay,602,Old Republic LE,Terran,Protoss,1.0,40.0,73.0,1343.0,358.0,28.0,15.0,156.0,228.0,2687.0,649.0,53.0,51.0,14438.25,3281.75,155.0,198.0,1455.0,335.0,34.0,8.0,375.0,286.0,2743.0,492.0,60.0,30.0,13528.25,2670.5
[TvP] - [mlem]LiquidClem vs [EGD]ShoWTimE - Tourmaline LE - 2026-02-23 12_58_01.SC2Replay,1158,Tourmaline LE,Terran,Protoss,1.0,95.0,141.0,1259.0,313.0,26.0,16.0,129.0,246.0,2295.0,671.0,49.0,69.0,14074.25,3320.75,45.0,88.0,1455.0,335.0,32.0,8.0,95.0,244.0,2071.0,582.0,62.0,51.0,14494.25,2883.5
[TvP] - [mlem]LiquidClem vs [EGD]ShoWTimE - Tourmaline LE - 2026-03-10 15_55_38.SC2Replay,550,Tourmaline LE,Terran,Protoss,1.0,75.0,114.0,1623.0,313.0,27.0,15.0,90.0,105.0,2323.0,649.0,51.0,66.0,14109.75,2789.25,175.0,100.0,1539.0,335.0,34.0,8.0,180.0,415.0,2687.0,492.0,61.0,38.0,13164.75,2761.0
[TvP] - [mlem]LiquidClem vs [EGD]ShoWTimE - White Rabbit LE - 2026-02-23 13_25_38.SC2Replay,1019,White Rabbit LE,Terran,Protoss,1.0,250.0,219.0,1091.0,313.0,24.0,12.0,74.0,151.0,2379.0,649.0,48.0,51.0,12625.25,2777.75,195.0,72.0,1427.0,313.0,32.0,8.0,295.0,413.0,2491.0,492.0,59.0,25.0,12947.25,2436.0
[TvP] - [mlem]LiquidClem vs [EGD]ShoWTimE - White Rabbit LE - 2026-03-10 16_15_55.SC2Replay,530,White Rabbit LE,Terran,Protoss,2.0,30.0,69.0,1091.0,335.0,27.0,10.0,32.0,395.0,2211.0,649.0,50.0,37.0,11800.25,2598.75,55.0,96.0,1287.0,335.0,32.0,8.0,40.0,139.0,2603.0,649.0,61.0,27.0,11954.25,2677.75
[TvP] - [mlem]LiquidClem vs [EGD]ShoWTimE - Winter Madness LE - 2026-03-10 16_06_12.SC2Replay,509,Winter Madness LE,Terran,Protoss,1.0,25.0,73.0,1175.0,313.0,26.0,13.0,38.0,56.0,2323.0,335.0,41.0,41.0,9840.75,2073.75,20.0,25.0,1035.0,246.0,29.0,12.0,185.0,209.0,1791.0,492.0,43.0,26.0,9567.75,1865.5
[TvP] - [PSISTM]MaxPax vs boanaan - Tourmaline LE - 2026-03-17 16_17_55.SC2Replay,218,Tourmaline LE,Terran,Protoss,1.0,225.0,124.0,811.0,223.0,21.0,6.0,225.0,124.0,811.0,223.0,21.0,6.0,2719.25,289.75,115.0,0.0,1007.0,0.0,18.0,4.0,115.0,0.0,1007.0,0.0,18.0,4.0,3216.25,0.0
[TvP] - [RBLN]ByuN vs [GGSZ]Gerald - Tourmaline LE - 2026-03-01 13_29_55.SC2Replay,826,Tourmaline LE,Terran,Protoss,2.0,200.0,183.0,1147.0,313.0,25.0,13.0,71.0,558.0,1539.0,627.0,45.0,54.0,11799.25,2962.25,280.0,9.0,1539.0,223.0,32.0,6.0,400.0,352.0,2687.0,425.0,57.0,35.0,14508.25,2363.25
[TvP] - [RBLN]ByuN vs [GGSZ]Gerald - White Rabbit LE - 2026-03-01 13_39_36.SC2Replay,502,White Rabbit LE,Terran,Protoss,1.0,205.0,196.0,1063.0,335.0,24.0,7.0,155.0,228.0,2351.0,627.0,44.0,39.0,9945.75,2335.75,70.0,57.0,1147.0,313.0,27.0,8.0,55.0,206.0,2127.0,492.0,49.0,28.0,10225.75,1955.5
[TvP] - [RBLN]ByuN vs [mIem]LiquidClem - 10000 Feet LE - 2026-03-10 14_34_47.SC2Replay,722,10000 Feet LE,Terran,Protoss,1.0,300.0,176.0,1259.0,313.0,27.0,10.0,160.0,377.0,2015.0,649.0,50.0,62.0,13430.25,3349.25,65.0,68.0,1511.0,313.0,34.0,8.0,500.0,169.0,2799.0,627.0,63.0,49.0,15698.25,2906.75
[TvP] - [RBLN]ByuN vs [mIem]LiquidClem - Winter Madness LE - 2026-03-10 14_43_44.SC2Replay,477,Winter Madness LE,Terran,Protoss,2.0,215.0,125.0,1315.0,156.0,26.0,11.0,108.0,126.0,2155.0,537.0,43.0,24.0,9757.25,1597.75,160.0,77.0,1455.0,313.0,33.0,8.0,35.0,107.0,1791.0,649.0,45.0,26.0,9722.25,2319.25
[TvP] - [RBLN]ByuN vs [SYDE]Krystianer - Tourmaline LE - 2026-02-16 16_18_34.SC2Replay,1012,Tourmaline LE,Terran,Protoss,1.0,180.0,192.0,1371.0,335.0,27.0,12.0,165.0,319.0,1847.0,671.0,50.0,50.0,13332.25,3040.75,340.0,63.0,1483.0,335.0,34.0,11.0,320.0,349.0,2435.0,582.0,59.0,40.0,14655.25,3074.5
[TvP] - [RBLN]ByuN vs [SYDE]Krystianer - Winter Madness LE - 2026-02-16 16_48_00.SC2Replay,1726,Winter Madness LE,Terran,Protoss,1.0,65.0,105.0,1315.0,335.0,27.0,14.0,105.0,258.0,2071.0,649.0,56.0,48.0,13934.25,3280.75,125.0,151.0,1483.0,291.0,32.0,8.0,440.0,259.0,2827.0,627.0,65.0,29.0,14431.25,3096.25
[TvP] - [RBLN]ByuN vs [T1herO]herO - Ruby Rock LE - 2026-03-18 14_06_00.SC2Replay,926,Ruby Rock LE,Terran,Protoss,2.0,165.0,171.0,1231.0,335.0,27.0,15.0,80.0,78.0,1735.0,604.0,52.0,34.0,13136.25,2687.5,125.0,123.0,1287.0,313.0,32.0,10.0,245.0,113.0,1875.0,447.0,44.0,33.0,12457.25,2537.25
[TvP] - [RBLN]ByuN vs [T1herO]herO - White Rabbit LE - 2026-03-18 13_49_34.SC2Replay,651,White Rabbit LE,Terran,Protoss,2.0,105.0,44.0,1147.0,335.0,24.0,8.0,159.0,509.0,2155.0,627.0,49.0,34.0,11967.25,2940.25,100.0,62.0,1175.0,291.0,27.0,14.0,60.0,34.0,2099.0,492.0,51.0,43.0,13059.25,2593.5
[TvP] - [RBLN]ByuN vs [混元星际]iGMacSed - 10000 Feet LE - 2026-03-18 11_30_33.SC2Replay,479,10000 Feet LE,Terran,Protoss,1.0,64.0,51.0,1315.0,335.0,26.0,13.0,63.0,100.0,1987.0,425.0,44.0,32.0,9071.25,1803.75,85.0,135.0,1091.0,291.0,31.0,7.0,180.0,290.0,1763.0,604.0,45.0,17.0,9295.25,1972.5
[TvP] - [RBLN]ByuN vs [混元星际]iGMacSed - White Rabbit LE - 2026-03-18 11_39_03.SC2Replay,464,White Rabbit LE,Terran,Protoss,1.0,129.0,165.0,1147.0,179.0,25.0,16.0,339.0,190.0,2183.0,358.0,40.0,28.0,9064.25,1586.5,105.0,41.0,1203.0,335.0,29.0,10.0,335.0,312.0,1763.0,582.0,44.0,11.0,8931.25,1855.5
[TvP] - [RBLN]ByuN vs Classic - 10000 Feet LE - 2026-03-15 15_29_58.SC2Replay,614,10000 Feet LE,Terran,Protoss,1.0,150.0,155.0,1455.0,313.0,26.0,14.0,160.0,312.0,1931.0,694.0,49.0,62.0,13661.25,3293.5,175.0,60.0,1455.0,313.0,35.0,8.0,248.0,36.0,1539.0,335.0,48.0,42.0,14277.25,2666.25
[TvP] - [RBLN]ByuN vs NiCe - Ruby Rock LE - 2026-03-16 12_56_46.SC2Replay,503,Ruby Rock LE,Terran,Protoss,1.0,245.0,86.0,1231.0,313.0,26.0,11.0,103.0,150.0,2155.0,604.0,42.0,39.0,10078.75,2173.5,130.0,135.0,979.0,335.0,26.0,13.0,170.0,365.0,1735.0,335.0,44.0,24.0,9441.75,1972.25
[TvP] - [SZgg]BabyMarine vs ART - White Rabbit LE - 2026-03-15 12_37_16.SC2Replay,567,White Rabbit LE,Terran,Protoss,2.0,310.0,86.0,1091.0,313.0,26.0,12.0,344.0,137.0,1987.0,671.0,45.0,50.0,11799.75,2682.25,95.0,112.0,1455.0,313.0,33.0,8.0,235.0,204.0,1987.0,492.0,57.0,36.0,12807.75,2605.0
[TvP] - Bunny vs Harstem - Tourmaline LE - 2026-02-25 14_20_16.SC2Replay,400,Tourmaline LE,Terran,Protoss,1.0,200.0,202.0,1315.0,313.0,26.0,10.0,130.0,131.0,1959.0,470.0,39.0,28.0,7805.25,1413.0,30.0,56.0,1287.0,313.0,30.0,8.0,55.0,123.0,1567.0,291.0,35.0,19.0,6881.25,1278.75
[TvP] - Bunny vs LetaleX - Tourmaline LE - 2026-03-19 12_51_01.SC2Replay,491,Tourmaline LE,Terran,Protoss,1.0,90.0,106.0,1259.0,313.0,27.0,13.0,130.0,24.0,2183.0,515.0,45.0,44.0,10729.75,2208.25,225.0,100.0,1511.0,335.0,34.0,8.0,265.0,69.0,2071.0,470.0,49.0,29.0,10043.75,1950.0
[TvP] - LiquidCure vs [mIem]LiquidClem - 10000 Feet LE - 2026-03-08 13_38_33.SC2Replay,431,10000 Feet LE,Terran,Protoss,1.0,95.0,179.0,1511.0,179.0,28.0,11.0,352.0,26.0,1567.0,156.0,40.0,39.0,9232.75,897.5,135.0,47.0,1483.0,313.0,33.0,8.0,610.0,122.0,1371.0,447.0,41.0,15.0,9001.75,1721.25
[TvP] - LiquidCure vs [mIem]LiquidClem - Celestial Enclave LE - 2026-03-08 14_04_09.SC2Replay,555,Celestial Enclave LE,Terran,Protoss,2.0,40.0,156.0,1203.0,335.0,26.0,15.0,186.0,110.0,1735.0,671.0,52.0,42.0,12688.75,2458.75,35.0,39.0,1539.0,313.0,33.0,8.0,140.0,132.0,2463.0,492.0,55.0,26.0,12814.75,2425.0
[TvP] - LiquidCure vs [mIem]LiquidClem - Ruby Rock LE - 2026-03-08 14_22_03.SC2Replay,836,Ruby Rock LE,Terran,Protoss,2.0,240.0,213.0,1091.0,335.0,26.0,15.0,370.0,267.0,2239.0,649.0,52.0,58.0,13318.25,3124.75,90.0,148.0,1483.0,335.0,35.0,8.0,285.0,556.0,2407.0,671.0,61.0,40.0,13500.25,3477.75
[TvP] - LiquidCure vs [mIem]LiquidClem - Winter Madness LE - 2026-03-08 13_53_13.SC2Replay,658,Winter Madness LE,Terran,Protoss,2.0,187.0,115.0,587.0,156.0,24.0,8.0,441.0,163.0,2211.0,470.0,45.0,51.0,11267.25,2206.5,210.0,61.0,1007.0,246.0,25.0,11.0,250.0,79.0,2379.0,627.0,55.0,36.0,12303.25,2269.25
[TvP] - LiquidCure vs Classic - Old Republic LE - 2026-03-02 15_37_30.SC2Replay,1605,Old Republic LE,Terran,Protoss,2.0,55.0,72.0,1595.0,313.0,28.0,9.0,395.0,240.0,2463.0,649.0,51.0,67.0,14200.25,3461.75,180.0,59.0,1483.0,335.0,35.0,10.0,620.0,260.0,2603.0,604.0,59.0,63.0,15621.25,3080.0
[TvP] - LiquidCure vs Classic - Ruby Rock LE - 2026-03-02 15_45_11.SC2Replay,364,Ruby Rock LE,Terran,Protoss,2.0,140.0,109.0,1287.0,335.0,26.0,8.0,55.0,82.0,2015.0,335.0,35.0,24.0,6839.75,1390.75,250.0,80.0,1539.0,335.0,34.0,8.0,110.0,222.0,1763.0,470.0,42.0,14.0,7350.75,1290.5
[TvP] - LiquidCure vs Classic - Winter Madness LE - 2026-03-02 16_00_54.SC2Replay,895,Winter Madness LE,Terran,Protoss,2.0,135.0,113.0,1315.0,313.0,27.0,12.0,116.0,155.0,1511.0,559.0,41.0,56.0,12954.25,3035.25,80.0,17.0,1511.0,313.0,34.0,8.0,60.0,274.0,2323.0,671.0,57.0,46.0,13353.25,3601.25
[TvP] - Nicoract vs [mlem]LiquidClem - 10000 Feet LE - 2026-02-18 12_10_09.SC2Replay,255,10000 Feet LE,Terran,Protoss,1.0,299.0,105.0,1063.0,156.0,23.0,9.0,299.0,105.0,1063.0,156.0,23.0,9.0,3565.75,530.0,205.0,70.0,1203.0,358.0,30.0,6.0,205.0,70.0,1203.0,358.0,30.0,6.0,3908.75,525.0
[TvP] - Nicoract vs [mlem]LiquidClem - Old Republic LE - 2026-02-18 12_26_37.SC2Replay,528,Old Republic LE,Terran,Protoss,2.0,230.0,195.0,1203.0,335.0,26.0,10.0,160.0,136.0,1847.0,515.0,45.0,31.0,11513.25,2352.25,160.0,64.0,1343.0,335.0,32.0,8.0,125.0,64.0,1931.0,470.0,47.0,35.0,11310.25,2252.0
[TvP] - Nicoract vs [mlem]LiquidClem - Taito Citadel LE - 2026-02-18 12_16_47.SC2Replay,348,Taito Citadel LE,Terran,Protoss,2.0,95.0,103.0,1175.0,313.0,26.0,13.0,135.0,89.0,1623.0,335.0,33.0,22.0,5916.25,1022.25,85.0,96.0,1567.0,313.0,34.0,6.0,150.0,224.0,1791.0,335.0,40.0,12.0,6490.25,1123.25
[TvP] - Nicoract vs Classic - Ruby Rock LE - 2026-03-05 12_11_47.SC2Replay,450,Ruby Rock LE,Terran,Protoss,1.0,310.0,166.0,1483.0,313.0,26.0,9.0,78.0,189.0,1847.0,649.0,41.0,34.0,8672.75,1659.25,245.0,247.0,1455.0,313.0,33.0,8.0,40.0,286.0,1875.0,627.0,52.0,16.0,8749.75,1788.25
[TvP] - Nicoract vs Classic - Taito Citadel LE - 2026-03-05 12_37_17.SC2Replay,539,Taito Citadel LE,Terran,Protoss,1.0,185.0,170.0,1259.0,313.0,27.0,12.0,39.0,253.0,1819.0,627.0,47.0,39.0,11100.25,2594.75,265.0,88.0,1371.0,335.0,32.0,8.0,65.0,72.0,1679.0,313.0,42.0,29.0,9903.25,1507.75
[TvP] - Nicoract vs herO - Ruby Rock LE - 2026-03-05 13_49_43.SC2Replay,471,Ruby Rock LE,Terran,Protoss,2.0,71.0,65.0,1091.0,156.0,21.0,16.0,189.0,408.0,1567.0,313.0,29.0,24.0,6838.25,1518.75,80.0,130.0,1007.0,313.0,25.0,12.0,415.0,148.0,1707.0,694.0,43.0,17.0,8497.25,1682.0
